"id","loc","year","mes","day","gh9","gh10","gh11","gh12","gh13","gh14","gh15","gh16","ghext9","ghext10","ghext11","ghext12","ghext13","ghext14","ghext15","ghext16","kh9","kh10","kh11","kh12","kh13","kh14","kh15","kh16","gd","gdext","kd","gh9_diaprevio","gh10_diaprevio","gh11_diaprevio","gh12_diaprevio","gh13_diaprevio","gh14_diaprevio","gh15_diaprevio","gh16_diaprevio","gd_previo","gdext_previo","kd_previo","t9_12_diaprevio","t13_15_diaprevio","h8_diaprevio","h14_diaprevio","t_dia_diaprevio","preciptac_dia_diaprevio","Predicc_temp_day_C","Predicc_Relative_humidity_day_0_1","Predicc_cloudy_sky_day_0_1","Predicc_temp_10_11_12_C","Predicc_temp_13_14_15_C","Predicc_R_hum_10_11_12","Predicc_R_hum_13_14_15","Predicc_cloudy_10_11_12","Predicc_cloudy_13_14_15","Predic_Gd","Predic_Kd","Today_cluster14_semiautom","Today_cluster14_experts","kd_predicted_rf_basic_prediction"
7438,"BA",2014,4,22,305.6,469.4,419.4,686.1,677.8,791.7,644.4,391.7,779.7,961.2,1089.5,1155.9,1155.9,1089.5,961.2,779.7,0.392,0.488,0.385,0.594,0.586,0.727,0.67,0.502,4763.9,9814.1,0.485,136.1,88.9,569.4,688.9,711.1,505.6,602.8,366.7,4069.4,9759.6,0.417,13.8,16.3,88,81,15.2,1.8,15.2,0.832,0.765,15.983,15.917,0.737,0.816,0.331,0.425,4897.2,0.499,"c06","c04",0.435047666666667
13702,"MA",2010,4,18,30.6,147.2,194.4,263.9,347.2,713.9,452.8,161.1,788.9,984.1,1122.2,1193.7,1193.7,1122.2,984.1,788.9,0.039,0.15,0.173,0.221,0.291,0.636,0.46,0.204,2702.8,9897.2,0.273,19.4,19.4,19.4,27.8,261.1,930.6,625,552.8,2702.8,9848.4,0.274,14,13.2,99,99,16.2,26.1,13.6,0.841,0.67,15.75,14.25,0.717,0.832,0.882,0.998,2372.5,0.24,"c12","c10",0.288482666666667
26571,"TO",2014,12,12,147.2,294.4,405.6,461.1,463.9,405.6,300,150,247.6,429.8,558.6,625.3,625.3,558.6,429.8,247.6,0.595,0.685,0.726,0.737,0.742,0.726,0.698,0.606,2661.1,3789.6,0.702,155.6,286.1,405.6,469.4,469.4,402.8,263.9,119.4,2600,3803.7,0.684,0.7,13.2,98,57,7,0,4.6,0.81,0.353,6.717,11.25,0.714,0.517,0,0,2781.5,0.734,"c02","c02",0.653235966666666
5388,"AL",2014,10,18,325,477.8,591.7,655.6,661.1,605.6,438.9,175,503,698.7,837,908.6,908.6,837,698.7,503,0.646,0.684,0.707,0.721,0.728,0.723,0.628,0.348,4200,6464.1,0.65,333.3,480.6,563.9,630.6,641.7,502.8,508.3,336.1,4316.7,6527.9,0.661,17.5,26.2,88,56,21.4,0,21,0.795,0.125,24.883,24.883,0.67,0.677,0.02,0.226,4505,0.697,"c03","c02",0.6410485
7121,"BA",2013,5,23,675,705.6,919.4,977.8,980.6,913.9,786.1,650,867.7,1039,1160.2,1222.9,1222.9,1160.2,1039,867.7,0.778,0.679,0.793,0.8,0.802,0.788,0.757,0.749,8122.2,11105,0.731,666.7,808.3,905.6,880.6,847.2,850,700,602.8,7563.9,11076.5,0.683,16.6,21.3,54,50,19.8,0,16.7,0.653,0.259,16.917,18.55,0.586,0.586,0.012,0.258,8688.4,0.782,"c01","c01",0.689507599999999
24794,"TO",2009,9,29,177.8,250,191.7,197.2,205.6,205.6,122.2,216.7,595.7,787.4,923,993.1,993.1,923,787.4,595.7,0.298,0.317,0.208,0.199,0.207,0.223,0.155,0.364,1738.9,7501.4,0.232,402.8,572.2,697.2,758.3,716.7,363.9,661.1,269.4,4858.3,7568.4,0.642,14.3,25.9,82,37,20.6,0,17.8,0.69,0.778,21.55,18.55,0.524,0.736,0.974,1,3158.1,0.421,"c13","c13",0.293937333333333
20050,"SS",2012,10,25,13.9,38.9,197.2,433.3,325,405.6,377.8,163.9,397.5,578,705.6,771.7,771.7,705.6,578,397.5,0.035,0.067,0.28,0.562,0.421,0.575,0.654,0.412,2044.4,5250,0.389,266.7,386.1,422.2,541.7,525,311.1,216.7,133.3,2972.2,5315.4,0.559,15.6,22,73,51,18.1,1,18.3,0.761,0.599,21.05,19.683,0.6,0.721,0.412,0.999,1961.2,0.374,"c10","c06",0.397874766666667
24414,"TO",2008,8,18,597.2,755.6,861.1,922.2,925,866.7,761.1,602.8,794.6,977.3,1106.5,1173.3,1173.3,1106.5,977.3,794.6,0.752,0.773,0.778,0.786,0.788,0.783,0.779,0.759,7569.4,10010.6,0.756,588.9,738.9,869.4,930.6,930.6,872.2,761.1,605.6,7544.4,10058.9,0.75,19.1,28.1,72,33,24.8,0,23.5,0.469,0.045,29.95,32.85,0.23,0.21,0,0,7960,0.795,"c01","c01",0.743910999999999
12816,"MM",2014,3,25,280.6,355.6,413.9,458.3,530.6,263.9,213.9,83.3,651.5,842.5,977.7,1047.6,1047.6,977.7,842.5,651.5,0.431,0.422,0.423,0.437,0.506,0.27,0.254,0.128,2847.2,8166.3,0.349,272.2,472.2,369.4,388.9,297.2,188.9,166.7,111.1,2827.8,8098.5,0.349,1.5,12.9,78,44,6.4,0,8.6,0.525,0.32,11.95,14.783,0.443,0.372,0.693,0.551,5874.3,0.719,"c11","c07",0.449253833333332
24487,"TO",2008,11,2,58.3,130.6,491.7,563.9,611.1,530.6,430.6,269.4,397.3,586.3,720,789.2,789.2,720,586.3,397.3,0.147,0.223,0.683,0.715,0.774,0.737,0.734,0.678,3227.8,5301.5,0.609,197.2,302.8,247.2,472.2,444.4,319.4,230.6,133.3,2416.7,5359.5,0.451,6.4,13,97,54,9.4,0.1,7.7,0.707,0.98,8.35,11.65,0.689,0.553,1,1,2180.1,0.411,"c06","c06",0.503855100000001
